epoch,categorical_accuracy,loss,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.375,42.10923385620117,0.375,0.375,0.5,1.3076585531234741,0.5,0.5
1,0.359375,1.4413167238235474,0.36315789818763733,0.359375,0.65625,0.8502438068389893,1.0,0.453125
2,0.5729166865348816,1.00386643409729,0.6433566212654114,0.4791666567325592,0.625,0.7201907634735107,0.707317054271698,0.453125
3,0.6302083134651184,0.7490377426147461,0.6531791687011719,0.5885416865348816,0.6875,0.594247579574585,0.7659574747085571,0.5625
4,0.65625,0.5633148550987244,0.6761363744735718,0.6197916865348816,0.71875,0.48080942034721375,0.7301587462425232,0.71875
5,0.7395833134651184,0.4653606414794922,0.7473683953285217,0.7395833134651184,0.84375,0.41820213198661804,0.8448275923728943,0.765625
6,0.8177083134651184,0.38191184401512146,0.8409090638160706,0.7708333134651184,0.859375,0.35387733578681946,0.859375,0.859375
7,0.8697916865348816,0.2800159156322479,0.8697916865348816,0.8697916865348816,0.828125,0.3326095938682556,0.828125,0.828125
8,0.9322916865348816,0.23885931074619293,0.9315789341926575,0.921875,0.96875,0.13587477803230286,0.96875,0.96875
9,0.9479166865348816,0.1373457908630371,0.9479166865348816,0.9479166865348816,1.0,0.06886978447437286,1.0,1.0
10,0.9791666865348816,0.0922599509358406,0.9791666865348816,0.9791666865348816,1.0,0.022554341703653336,1.0,1.0
11,1.0,0.03774440661072731,1.0,1.0,1.0,0.0179411880671978,1.0,1.0
12,1.0,0.0187754537910223,1.0,1.0,1.0,0.007413781713694334,1.0,1.0
13,1.0,0.010057809762656689,1.0,1.0,1.0,0.008700554259121418,1.0,1.0
14,1.0,0.006710115820169449,1.0,1.0,1.0,0.00374933541752398,1.0,1.0
15,1.0,0.003107641590759158,1.0,1.0,1.0,0.0028542615473270416,1.0,1.0
16,1.0,0.002137030940502882,1.0,1.0,1.0,0.001270475098863244,1.0,1.0
17,1.0,0.0017601517029106617,1.0,1.0,1.0,0.002607726026326418,1.0,1.0
18,1.0,0.0015557315200567245,1.0,1.0,1.0,0.0009565252694301307,1.0,1.0
19,1.0,0.0013155787019059062,1.0,1.0,1.0,0.0012270030565559864,1.0,1.0
